Index,PartNumber_TLN_BOM,PartNumber_BOM_BOM,Match,Component,Description,End of Prod,Status,Life__Years,EOSL,flag_raise_in_gp,Remark
103,,CKB74607,exact,Circuit Breaker,"3P,PD3,400A,65KA@480V,MCSW,NO LUG  ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
104,,CKB74712,exact,Circuit Breaker,"3P,PD2,225A,65KA@480V,MCSW,NO LUG  ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
105,,CKB75301,exact,Circuit Breaker,XT7H-D 1200 MCS 3P F F UL/CSA      ,,Active,14,,TRUE,Ref sheet ( MCSW Tola)
106,,CKB75302,exact,Circuit Breaker,XT7H-D 1200 MCS 3P F F UL/CSA      ,,Active,14,,TRUE,Ref sheet ( MCSW Tola)
107,,CKB75400,exact,Circuit Breaker,XT5L-D 600 MCS 3P F F UL/CSA + AUX ,,Active,14,,TRUE,Ref sheet ( MCSW Tola)
108,,CKB75402,exact,Circuit Breaker,XT5L-D 600 MCS 3P F F UL/CSA+AUX&ST,,Active,14,,TRUE,Ref sheet ( MCSW Tola)
109,,CKB11022,exact,Circuit Breaker,OBSOLETE -USE CKB15387,2022,Obsoleted,14,,FALSE,ABB (end of Prod)
110,,CKB11153,exact,Circuit Breaker,ABB 225A-T3-CIRCUIT BREAKER-FIXED,2022,Obsoleted,14,,FALSE,ABB (end of Prod)
111,,CKB11570,exact,Circuit Breaker,"ABB-T6,4P,800A,600V,35kAIC/480V,4P",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
112,,CKB11571,exact,Circuit Breaker,"ABB-T5,4P,400A,600V,25kAIC/480V,TM",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
113,,CKB11931,exact,Circuit Breaker,"ABB-T4,3P,200AT,600V,65kAIC,MCCB",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
114,,CKB11996,exact,Circuit Breaker,"ABB-T5,3P,400A,480V,65kAIC, T/M",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
115,,CKB11996T,exact,Circuit Breaker,"ABB-T5,3P,400A,480V,65kAIC, T/M",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
116,,CKB12001,exact,Circuit Breaker,"ABB,T3,225A,3P, MCSW, FIXED MOUNT",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
117,,CKB12004,exact,Circuit Breaker,"ABB-T5,3P,600A,480V,65kAIC,MCSW",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
118,,CKB12049,exact,Circuit Breaker,"ABB, T3, 225A, 35k @ 480v",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
119,,CKB12134,exact,Circuit Breaker,"ABB T5,600A MCCB, 65K @ 480 VOLT",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
120,,CKB12139,exact,Circuit Breaker,"ABB-T5,3P,400A,480V,65kAIC, E-TRIP",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
121,,CKB12142,exact,Circuit Breaker,"ABB-T5,4P,400A,600V,100% RATED,T/M",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
122,,CKB12379,exact,Circuit Breaker,"ABB-T5,4P,300A,600V,25kAIC/480V,TM",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
123,,CKB12576,exact,Circuit Breaker,"ABB-T7,3P,1000AF,600V,25kAIC,100%",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
124,,CKB12781,exact,Circuit Breaker,"ABB,T4, MCSW, 250A, 65K @ 480 AX/ST",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
125,,CKB13344,exact,Circuit Breaker,"ABB-T6,3P,600AF,480V,35K,100%,LSI",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
126,,CKB13862,exact,Circuit Breaker,"ABB-T5,3P,400A,480V,65kAIC, T/M",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
127,,CKB14135,exact,Circuit Breaker,"ABB-T5,3P,400A,480V,25kAC, E/T,100%",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
128,,CKB14315,exact,Circuit Breaker,"ABB-T3,3P,125A,480V,35KAIC, FIX MNT",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
129,,CKB15096,exact,Circuit Breaker,"ABB-T6,3P,600V,600AF,20kAIC,MCB",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
130,,CKB15366,exact,Circuit Breaker,"ABB-T6,3P,600AF,480V,100kAIC,100%",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
131,,CKB19900,exact,Circuit Breaker,"3P,600A,35k/600V,ABB,100%,Lugs",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
132,,CKB20151,exact,Circuit Breaker,"3P,600A,35k/480V,ABB,100%,Lugs",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
133,,CKB31290,exact,Circuit Breaker,"CIRCUIT BREAKER, MOLDED CASE, MCB1A",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
134,,CKB31291,exact,Circuit Breaker,"CIRCUIT BREAKER, MOLDED CASE, MCB2",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
135,,CKB58827,exact,Circuit Breaker,"400A,18K/480VAC,ABB,LUGS",2022,Obsoleted,14,,FALSE,ABB (end of Prod)
136,,CKB00001,exact,MoldedBreaker,"3P,30A,480V,AIC18K,MX10,120VST     ",,Active,14,,TRUE,Molded Breaker
137,,CKB00002,exact,MoldedBreaker,"3P,50A,480V,AIC18K,MX10,120VST     ",,Active,14,,TRUE,Molded Breaker
138,,CKB00003,exact,MoldedBreaker,"3P,60A,480,AIC18K,MX10,120VST      ",,Active,14,,TRUE,Molded Breaker
139,,CKB000036,exact,MoldedBreaker,"CB,3P 800AF\800AT,65KAIC@480V,LSI  ",,Active,14,,TRUE,Molded Breaker
140,,CKB00004,exact,MoldedBreaker,"3P,80A,480V,AIC18K,MX10,120VST     ",,Active,14,,TRUE,Molded Breaker
141,,CKB000045,exact,MoldedBreaker,"3P,350A,65KA,480V,ETN,80%,LUGS,T/M ",,Active,14,,TRUE,Molded Breaker
142,,CKB00005,exact,MoldedBreaker,"3P100A,600V,AIC22K,MX10,120VST     ",,Active,14,,TRUE,Molded Breaker
143,,CKB000057,exact,MoldedBreaker,"3P,150A,35KA,480V,ETN,80%,LUGS,LSI ",,Active,14,,TRUE,Molded Breaker
144,,CKB00006,exact,MoldedBreaker,"3P110A,600,AIC22K,MX10,120VST      ",,Active,14,,TRUE,Molded Breaker
145,,CKB00007,exact,MoldedBreaker,"3P125A,600V,AIC22K,MX10,120VST     ",,Active,14,,TRUE,Molded Breaker
146,,CKB000072,exact,MoldedBreaker,"3P,80A,65KA,480V,ETN,80%,LUGS,T/M  ",,Active,14,,TRUE,Molded Breaker
147,,CKB00008,exact,MoldedBreaker,"3P175A,600V,AIC22K,MX10,120VST     ",,Active,14,,TRUE,Molded Breaker
148,,CKB00009,exact,MoldedBreaker,"3P200A,600V,AIC22K,MX10,120VST     ",,Active,14,,TRUE,Molded Breaker
149,,CKB00010,exact,MoldedBreaker,"3P250A,600V,AIC22K,MX10,120VST     ",,Active,14,,TRUE,Molded Breaker
150,,CKB00011,exact,MoldedBreaker,"3P300A,600V,AIC22K,MX10,NT         ",,Active,14,,TRUE,Molded Breaker
151,,CKB000127,exact,MoldedBreaker,"3P,225A,25KA,480V,ETN,80%,LUGS,LSI ",,Active,14,,TRUE,Molded Breaker
152,,CKB000128,exact,MoldedBreaker,"3P,400A,65k/480V,SQD,80%,NoLugs,LI ",,Active,14,,TRUE,Molded Breaker
153,,CKB00013,exact,MoldedBreaker,"3P,400A,22k/600V,SQD,Lugs",,Active,14,,TRUE,Molded Breaker
154,,CKB000131,exact,MoldedBreaker,"3P,400A,35K,480V,ETN,80%,NO LUGS,TM",,Active,14,,TRUE,Molded Breaker
155,,CKB000132,exact,MoldedBreaker,"3P,250A,35K,480V,ETN,80%,NO LUGS,TM",,Active,14,,TRUE,Molded Breaker
156,,CKB00014,exact,MoldedBreaker,"3P500A,600V,AIC22K,MX10,NT         ",,Active,14,,TRUE,Molded Breaker
157,,CKB00015,exact,MoldedBreaker,"3P600A,600V,AIC22K,MX10,NT         ",,Active,14,,TRUE,Molded Breaker
158,,CKB000150,exact,MoldedBreaker,"3P,400A,35KA,480V,ETN,80(2)350,LS1 ",,Active,14,,TRUE,Molded Breaker
159,,CKB00017,exact,MoldedBreaker,"3P800A,600V,AIC22K,MX10,NT         ",,Active,14,,TRUE,Molded Breaker
160,,CKB00022,exact,MoldedBreaker,"3P,50A,480V,AIC22K,MX10,NT         ",,Active,14,,TRUE,Molded Breaker
161,,CKB00023,exact,MoldedBreaker,"3P,60A,600V,AIC22K,MX10,NT         ",,Active,14,,TRUE,Molded Breaker
162,,CKB00025,exact,MoldedBreaker,"3P,80A,480V,AIC22K,MX10,NT         ",,Active,14,,TRUE,Molded Breaker
163,,CKB00028,exact,MoldedBreaker,"3P,100A,600V,AIC22K,MX10,NT        ",,Active,14,,TRUE,Molded Breaker
164,,CKB00030,exact,MoldedBreaker,"3P,125A,600V,AIC22K,MX10,NT        ",,Active,14,,TRUE,Molded Breaker
165,,CKB00031,exact,MoldedBreaker,"3P,150A,600V,AIC22K,MX10,NT        ",,Active,14,,TRUE,Molded Breaker
166,,CKB00032,exact,MoldedBreaker,"3P,175A,600V,AIC22K,MX10,NT        ",,Active,14,,TRUE,Molded Breaker
167,,CKB00033,exact,MoldedBreaker,"3P,200A,600V,AIC22K,MX10,NT        ",,Active,14,,TRUE,Molded Breaker
168,,CKB00035,exact,MoldedBreaker,"3P,250A,600V,AIC22K,MX10,NT KA     ",,Active,14,,TRUE,Molded Breaker
169,,CKB00036,exact,MoldedBreaker,"3P,200A,600V,AIC22K,MX10,W/AUX     ",,Active,14,,TRUE,Molded Breaker
170,,CKB00037,exact,MoldedBreaker,"3P,250A,600V,AIC22K,MX10,NT LA     ",,Active,14,,TRUE,Molded Breaker
171,,CKB00050,exact,MoldedBreaker,"3P,50A,600V,AIC14K,MX10,ST         ",,Active,14,,TRUE,Molded Breaker
172,,CKB00052,exact,MoldedBreaker,"3P,70A,600V,AIC22K,MX15,120VST     ",,Active,14,,TRUE,Molded Breaker
173,,CKB00105,exact,MoldedBreaker,"3P,90A,480,AIC18K,MX10,120VST      ",,Active,14,,TRUE,Molded Breaker
174,,CKB00108,exact,MoldedBreaker,"3P150A,600V,AIC22K,MX10,120VST     ",,Active,14,,TRUE,Molded Breaker
175,,CKB00110,exact,MoldedBreaker,"3P225A,600V,AIC22K,MX10,120VST     ",,Active,14,,TRUE,Molded Breaker
176,,CKB00114,exact,MoldedBreaker,"3P450A,600V,AIC22K,MX10,NT         ",,Active,14,,TRUE,Molded Breaker
177,,CKB0085T,exact,MoldedBreaker,"T,3P,600V,600A,50KAIC@600V,P FRAME",,Active,14,,TRUE,Molded Breaker
178,,CKB0122,exact,MoldedBreaker,"PLGN KIT,T5,3P,ABB,MOVE",,Active,14,,TRUE,Molded Breaker
179,,CKB0123,exact,MoldedBreaker,"PLGN KIT,T5,3P,ABB,FIX",,Active,14,,TRUE,Molded Breaker
180,,CKB0446,exact,MoldedBreaker,"3P,T5,400A,65k/480V,ABB,100%",,Active,14,,TRUE,Molded Breaker
181,,CKB05451,exact,MoldedBreaker,"SQD-LCL,3P,350A,600V,65KAIC        ",,Active,14,,TRUE,Molded Breaker
182,,CKB05524,exact,MoldedBreaker,"CB,MC,TM,500A,3P,600V,SQ-D         ",,Active,14,,TRUE,Molded Breaker
183,,CKB05546,exact,MoldedBreaker,"400A,35KAIC,PLUGIN,3P,600V,120V,ST ",,Active,14,,TRUE,Molded Breaker
184,,CKB05655,exact,MoldedBreaker,"CKB,3P,200A,600V,22K,120VST,W/AUX  ",,Active,14,,TRUE,Molded Breaker
185,,CKB06274,exact,MoldedBreaker,"SQ-D,3P,600V, 250A,120V ST, 35 KAIC",,Active,14,,TRUE,Molded Breaker
186,,CKB06275,exact,MoldedBreaker,"SQ-D,3P,600V, 125A, 120V ST,35 KAIC",,Active,14,,TRUE,Molded Breaker
187,,CKB06342,exact,MoldedBreaker,"SQ-D, 3P, 400A, 65KAIC @ 480V      ",,Active,14,,TRUE,Molded Breaker
188,,CKB06385,exact,MoldedBreaker,"3P, 250A, 600V, 120V ST, AUX       ",,Active,14,,TRUE,Molded Breaker
189,,CKB06403,exact,MoldedBreaker,"3P, 175A, 120V ST, AUX, 22KAIC,600V",,Active,14,,TRUE,Molded Breaker
190,,CKB06422,exact,MoldedBreaker,"3P,250A,480V,65KAIC,120VST,AUXNOLUG",,Active,14,,TRUE,Molded Breaker
191,,CKB06423,exact,MoldedBreaker,"3P,400A,480V, 65KAIC,NO LUGS,SQ-D  ",,Active,14,,TRUE,Molded Breaker
192,,CKB06438,exact,MoldedBreaker,"GE,MC CKB,3P,225A,240V,22KAIC,NOLUG",,Active,14,,TRUE,Molded Breaker
193,,CKB06452,exact,MoldedBreaker,"3P,175A,120V ST,AUX, 65KAIC,480V   ",,Active,14,,TRUE,Molded Breaker
194,,CKB06475,exact,MoldedBreaker,"3P, 70A, 600V, 100K AIC, 120V ST   ",,Active,14,,TRUE,Molded Breaker
195,,CKB06494,exact,MoldedBreaker,"3P, 175A, 480V, 65KAIC, 120V ST    ",,Active,14,,TRUE,Molded Breaker
196,,CKB06508,exact,MoldedBreaker,"3P300A, 600V, AIC100K, MX10, NT    ",,Active,14,,TRUE,Molded Breaker
197,,CKB06552,exact,MoldedBreaker,"3P125A,480V,AIC65K,120VST          ",,Active,14,,TRUE,Molded Breaker
198,,CKB06639,exact,MoldedBreaker,"3P,80A,480,AIC65K,120VST           ",,Active,14,,TRUE,Molded Breaker
199,,CKB06753,exact,MoldedBreaker,"SQD,3P,200A,480V,65K,120VST,1A1BAUX",,Active,14,,TRUE,Molded Breaker
